algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n),T4(n)
3783,1955,1691,837,3463,184,156,135
1005,2904,1238,454,11043,349,226,200
1425,491,557,389,25523,564,295,265
2772,470,586,457,49153,829,364,330
4628,702,826,133,84183,1144,433,395
7195,1109,1155,361,132863,1509,501,460
11200,1573,1476,212,197443,1924,570,525
10653,1335,1423,396,280173,2389,638,590
12268,1434,1275,482,383303,2904,706,655
15623,2874,1306,161,509083,3469,774,720
27384,2778,1970,278,659763,4084,841,785
25612,2450,2511,542,837593,4749,909,850
29518,3116,1708,443,1044823,5464,977,915
40872,3019,1880,210,1283703,6229,1044,980
37632,2970,1682,211,1556483,7044,1111,1045
42350,4417,1764,347,1865413,7909,1179,1110
50171,4453,2916,243,2212743,8824,1246,1175
75095,5010,2282,231,2600723,9789,1313,1240
119299,6217,2988,398,3031603,10804,1380,1305
